"country","nr"
"1","arg",60
"2","aus",60
"3","aut",60
"4","bdi",60
"5","bel",60
"6","ben",60
"7","bfa",60
"8","bgd",60
"9","bhs",60
"10","blz",60
"11","bol",60
"12","bra",60
"13","bwa",60
"14","caf",60
"15","chl",60
"16","chn",60
"17","civ",60
"18","cmr",60
"19","cod",60
"20","cog",60
"21","col",60
"22","cri",60
"23","dnk",60
"24","dom",60
"25","dza",60
"26","ecu",60
"27","egy",60
"28","esp",60
"29","fin",60
"30","fji",60
"31","fra",60
"32","gab",60
"33","gbr",60
"34","gha",60
"35","grc",60
"36","gtm",60
"37","guy",60
"38","hnd",60
"39","hti",60
"40","idn",60
"41","ind",60
"42","irn",60
"43","ita",60
"44","jpn",60
"45","ken",60
"46","kor",60
"47","lso",60
"48","lux",60
"49","mdg",60
"50","mex",60
"51","mmr",60
"52","mwi",60
"53","mys",60
"54","ner",60
"55","nga",60
"56","nic",60
"57","nld",60
"58","nor",60
"59","npl",60
"60","pak",60
"61","pan",60
"62","per",60
"63","phl",60
"64","png",60
"65","prt",60
"66","pry",60
"67","rwa",60
"68","sdn",60
"69","sen",60
"70","sgp",60
"71","sle",60
"72","sur",60
"73","swe",60
"74","syc",60
"75","tcd",60
"76","tgo",60
"77","tha",60
"78","tto",60
"79","tur",60
"80","ury",60
"81","usa",60
"82","vct",60
"83","zaf",60
"84","zmb",60
"85","zwe",60
